cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
57,0.67327,0.57563,0.53808,0.96192,0.79314,0.99964,0.12862,0.41759,0.6418,0.53873,False
58,0.62948,0.53398,0.56188,0.93812,0.8396,0.99982,0.0078,0.38197,0.58759,0.49765,False
59,0.66433,0.57479,0.55123,0.94877,0.92893,0.99984,0.10083,0.44297,0.62747,0.52928,False
60,0.63414,0.54818,0.56744,0.93256,0.99901,0.99902,0.01566,0.42703,0.58906,0.50032,False
61,0.69014,0.61168,0.58824,0.91176,0.97559,0.99816,0.20365,0.51201,0.65875,0.56424,False
62,0.64787,0.56055,0.57662,0.92338,0.91542,0.99852,0.07019,0.43343,0.60841,0.51887,False
63,0.72217,0.63925,0.5928,0.9072,0.81084,0.99733,0.31682,0.52312,0.70259,0.60272,False
64,0.68333,0.5918,0.59929,0.90071,0.70071,0.99966,0.2079,0.44852,0.65822,0.56569,False
65,0.66633,0.57306,0.59934,0.90066,0.69638,0.9996,0.15634,0.42425,0.63756,0.54816,False
66,0.68455,0.5848,0.55857,0.94143,0.65,0.99636,0.19021,0.41567,0.66017,0.55967,False
67,0.7018,0.6058,0.59941,0.90059,0.56785,0.99747,0.27569,0.44585,0.68454,0.58873,False
68,0.63243,0.52578,0.58976,0.91024,0.52034,0.99899,0.05879,0.33347,0.60072,0.51499,False
69,0.66763,0.56115,0.56955,0.93045,0.52036,0.99809,0.15333,0.36995,0.64327,0.54713,False
70,0.61963,0.50631,0.60717,0.89283,0.36032,0.99997,0.04174,0.29101,0.58989,0.50919,False
71,0.62177,0.50676,0.6002,0.8998,0.34476,0.99984,0.04465,0.28634,0.59275,0.51018,False
72,0.62671,0.50748,0.596,0.904,0.26504,0.99976,0.06241,0.27315,0.60088,0.51622,False
73,0.64939,0.52621,0.58609,0.91391,0.1762,0.99951,0.13128,0.27895,0.63082,0.53963,False
74,0.61992,0.49016,0.60988,0.89012,0.02096,0.99903,0.06871,0.21912,0.59967,0.51836,False
75,0.65245,0.51946,0.57823,0.92177,0.00079,0.99941,0.14738,0.23999,0.63919,0.54511,False
76,0.62136,0.49398,0.59931,0.90069,0.10032,0.9993,0.06013,0.23193,0.59898,0.51544,False
77,0.70337,0.59243,0.60113,0.89887,0.25669,0.99603,0.30446,0.38152,0.69511,0.59852,False
78,0.61908,0.49647,0.59559,0.90441,0.21399,0.99994,0.04217,0.25115,0.59295,0.50934,False
79,0.68899,0.58109,0.59522,0.90478,0.37087,0.99794,0.24674,0.38232,0.67417,0.57889,False
80,0.69322,0.58853,0.59571,0.90429,0.42989,0.99893,0.255,0.40094,0.6777,0.5817,False
81,0.75527,0.66604,0.55756,0.94244,0.72184,0.99379,0.40322,0.52918,0.74473,0.63209,False
82,0.7433,0.65243,0.58698,0.91302,0.63791,0.99828,0.38841,0.51036,0.73301,0.62706,False
83,0.68733,0.59848,0.60248,0.89752,0.73765,0.99992,0.21955,0.46395,0.66217,0.56965,False
84,0.65874,0.57189,0.59927,0.90073,0.83456,0.9989,0.12425,0.44433,0.6245,0.53724,False
85,0.6775,0.59245,0.60846,0.89154,0.81042,0.9997,0.18883,0.47012,0.64832,0.5592,False
86,0.64389,0.56169,0.60878,0.89122,0.92554,0.9994,0.07868,0.44942,0.60407,0.52175,False
